imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt3915174,Puss in Boots: The Last Wish,2022,PG,102 min,"Animation, Adventure, Comedy",7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford, 
Januel Mercado",/name/nm3150455/,"Antonio Banderas, 
Salma Hayek, 
Harvey Guillén, 
Florence Pugh","/name/nm2591093/,/name/nm0000104/,/name/nm0000161/,/name/nm2957490/,/name/nm6073955/",93143.0,168464485.0,3
tt6718170,The Super Mario Bros. Movie,2023,PG,92 min,"Animation, Adventure, Comedy",,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom,"Aaron Horvath, 
Michael Jelenic",/name/nm1739338/,"Chris Pratt, 
Anya Taylor-Joy, 
Charlie Day, 
Jack Black","/name/nm2398585/,/name/nm0695435/,/name/nm5896355/,/name/nm0206359/,/name/nm0085312/",,,1
tt26537229,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,2023,R,110 min,"Animation, Action, Adventure",6.6,All the Upper Rank Demons assemble at the Infinity Castle after Upper Six Demons' defeat.,Haruo Sotozaki,/name/nm1417038/,"Zach Aguilar, 
Kira Buckland, 
Griffin Burns, 
Ray Chase","/name/nm6450743/,/name/nm2299231/,/name/nm4232585/,/name/nm2616557/",1316.0,,3
tt1488589,Guillermo del Toro's Pinocchio,2022,PG,117 min,"Animation, Drama, Family",7.6,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Guillermo del Toro, 
Mark Gustafson",/name/nm0868219/,"Ewan McGregor, 
David Bradley, 
Gregory Mann, 
Burn Gorman","/name/nm0348993/,/name/nm0000191/,/name/nm0103195/,/name/nm9640481/,/name/nm1218607/",86296.0,,1
tt14668630,"Lyle, Lyle, Crocodile",2022,PG,106 min,"Animation, Adventure, Comedy",6.1,Feature film based on the children's book about a crocodile that lives in New York City.,"Josh Gordon, 
Will Speck",/name/nm0330347/,"Javier Bardem, 
Winslow Fegley, 
Shawn Mendes, 
Constance Wu","/name/nm0817447/,/name/nm0000849/,/name/nm9121761/,/name/nm6658398/,/name/nm2090422/",9351.0,46888441.0,1
tt6105098,The Lion King,2019,PG,118 min,"Animation, Adventure, Drama",6.8,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Jon Favreau,/name/nm0269463/,"Donald Glover, 
Beyoncé, 
Seth Rogen, 
Chiwetel Ejiofor","/name/nm2255973/,/name/nm0461498/,/name/nm0736622/,/name/nm0252230/",250061.0,543638043.0,3
tt2953050,Encanto,2021,PG,102 min,"Animation, Comedy, Family",7.2,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,"Jared Bush, 
Byron Howard, 
Charise Castro Smith",/name/nm1158544/,"Stephanie Beatriz, 
María Cecilia Botero, 
John Leguizamo, 
Mauro Castillo","/name/nm0397174/,/name/nm4146781/,/name/nm3715867/,/name/nm1239720/,/name/nm0000491/,/name/nm8871347/",230458.0,96093622.0,3
tt6467266,Sing 2,2021,PG,110 min,"Animation, Adventure, Comedy",7.4,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Garth Jennings, 
Christophe Lourdelet",/name/nm1134029/,"Matthew McConaughey, 
Reese Witherspoon, 
Scarlett Johansson, 
Tori Kelly","/name/nm2888554/,/name/nm0000190/,/name/nm0000702/,/name/nm0424060/,/name/nm1812991/",72595.0,162790990.0,3
tt4633694,Spider-Man: Into the Spider-Verse,2018,PG,117 min,"Animation, Action, Adventure",8.4,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman",/name/nm2130108/,"Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali","/name/nm0709056/,/name/nm0745247/,/name/nm4271336/,/name/nm2159926/,/name/nm2794962/,/name/nm0991810/",545661.0,190241310.0,1
tt10298840,Strange World,2022,PG,102 min,"Animation, Action, Adventure",5.6,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.,"Don Hall, 
Qui Nguyen",/name/nm2320658/,"Jake Gyllenhaal, 
Jaboukie Young-White, 
Gabrielle Union, 
Dennis Quaid","/name/nm5945690/,/name/nm0350453/,/name/nm7187850/,/name/nm0005517/,/name/nm0000598/",36176.0,,3
