imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt3915174,Puss in Boots: The Last Wish,2022,PG,102 min,"Animation, Adventure, Comedy",7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford, 
Januel Mercado",/name/nm3150455/,"Antonio Banderas, 
Salma Hayek, 
Harvey Guillén, 
Florence Pugh","/name/nm2591093/,/name/nm0000104/,/name/nm0000161/,/name/nm2957490/,/name/nm6073955/",75016.0,,3
tt14668630,"Lyle, Lyle, Crocodile",2022,PG,106 min,"Animation, Adventure, Comedy",6.1,Feature film based on the children's book about a crocodile that lives in New York City.,"Josh Gordon, 
Will Speck",/name/nm0330347/,"Javier Bardem, 
Winslow Fegley, 
Shawn Mendes, 
Constance Wu","/name/nm0817447/,/name/nm0000849/,/name/nm9121761/,/name/nm6658398/,/name/nm2090422/",8131.0,,1
tt6718170,The Super Mario Bros. Movie,2023,PG,,"Animation, Adventure, Comedy",,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom,"Aaron Horvath, 
Michael Jelenic",/name/nm1739338/,"Chris Pratt, 
Anya Taylor-Joy, 
Charlie Day, 
Jack Black","/name/nm2398585/,/name/nm0695435/,/name/nm5896355/,/name/nm0206359/,/name/nm0085312/",,,1
tt1488589,Guillermo del Toro's Pinocchio,2022,PG,117 min,"Animation, Drama, Family",7.6,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Guillermo del Toro, 
Mark Gustafson",/name/nm0868219/,"Ewan McGregor, 
David Bradley, 
Gregory Mann, 
Burn Gorman","/name/nm0348993/,/name/nm0000191/,/name/nm0103195/,/name/nm9640481/,/name/nm1218607/",80804.0,,1
tt11210390,Asterix & Obelix: The Middle Kingdom,2023,,112 min,"Adventure, Comedy, Family",4.4,"The only daughter of the Chinese emperor Han Xuandi, escapes from a strict prince and seeks help from the Gauls and the two brave warriors Asterix and Obelix.",Guillaume Canet,/name/nm0133899/,"Guillaume Canet, 
Gilles Lellouche, 
Vincent Cassel, 
Jonathan Cohen","/name/nm0133899/,/name/nm0500976/,/name/nm0001993/,/name/nm3214170/",1376.0,,3
tt5971474,The Little Mermaid,2023,PG,,"Adventure, Family, Fantasy",,"A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.",Rob Marshall,/name/nm0551128/,"Halle Bailey, 
Jonah Hauer-King, 
Melissa McCarthy, 
Javier Bardem","/name/nm1782991/,/name/nm5999355/,/name/nm0565250/,/name/nm0000849/",,,3
tt10298840,Strange World,2022,PG,102 min,"Animation, Action, Adventure",5.6,The legendary Clades are a family of explorers whose differences threaten to topple their latest and most crucial mission.,"Don Hall, 
Qui Nguyen",/name/nm2320658/,"Jake Gyllenhaal, 
Jaboukie Young-White, 
Gabrielle Union, 
Dennis Quaid","/name/nm5945690/,/name/nm0350453/,/name/nm7187850/,/name/nm0005517/,/name/nm0000598/",34585.0,,3
tt3447590,Roald Dahl's Matilda the Musical,2022,PG,117 min,"Comedy, Drama, Family",7.1,"An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results.",Matthew Warchus,/name/nm0911334/,"Alisha Weir, 
Emma Thompson, 
Lashana Lynch, 
Stephen Graham","/name/nm10341836/,/name/nm0000668/,/name/nm2736476/,/name/nm0334318/",19624.0,,3
tt5113044,Minions: The Rise of Gru,2022,PG,87 min,"Animation, Adventure, Comedy",6.6,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.,"Kyle Balda, 
Brad Ableson, 
Jonathan del Val",/name/nm0049633/,"Steve Carell, 
Pierre Coffin, 
Alan Arkin, 
Taraji P. Henson","/name/nm1556070/,/name/nm3646390/,/name/nm0136797/,/name/nm1853544/,/name/nm0000273/,/name/nm0378245/",68436.0,,1
tt2953050,Encanto,2021,PG,102 min,"Animation, Comedy, Family",7.2,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,"Jared Bush, 
Byron Howard, 
Charise Castro Smith",/name/nm1158544/,"Stephanie Beatriz, 
María Cecilia Botero, 
John Leguizamo, 
Mauro Castillo","/name/nm0397174/,/name/nm4146781/,/name/nm3715867/,/name/nm1239720/,/name/nm0000491/,/name/nm8871347/",228597.0,96093622.0,3
tt6467266,Sing 2,2021,PG,110 min,"Animation, Adventure, Comedy",7.4,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Garth Jennings, 
Christophe Lourdelet",/name/nm1134029/,"Matthew McConaughey, 
Reese Witherspoon, 
Scarlett Johansson, 
Tori Kelly","/name/nm2888554/,/name/nm0000190/,/name/nm0000702/,/name/nm0424060/,/name/nm1812991/",71872.0,162790990.0,3
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,130 min,"Adventure, Family, Fantasy",8.1,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",David Yates,/name/nm0946734/,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon","/name/nm0705356/,/name/nm0914612/,/name/nm0342488/,/name/nm0002091/",885463.0,381011219.0,3
tt4123432,Fantastic Beasts: The Secrets of Dumbledore,2022,PG-13,142 min,"Adventure, Family, Fantasy",6.2,Professor Albus Dumbledore must assist Newt Scamander and his partners as Grindelwald begins to lead an army to eliminate all Muggles.,David Yates,/name/nm0946734/,"Eddie Redmayne, 
Jude Law, 
Ezra Miller, 
Dan Fogler","/name/nm1519666/,/name/nm0000179/,/name/nm3009232/,/name/nm0283945/",146293.0,,1
tt8115900,The Bad Guys,2022,PG,100 min,"Animation, Adventure, Comedy",6.8,"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways.",Pierre Perifel,/name/nm2010048/,"Sam Rockwell, 
Marc Maron, 
Awkwafina, 
Craig Robinson","/name/nm0005377/,/name/nm0549505/,/name/nm5377144/,/name/nm0732497/",44425.0,,3
tt9288046,The Sea Beast,2022,PG,115 min,"Animation, Adventure, Comedy",7.1,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",Chris Williams,/name/nm0930261/,"Karl Urban, 
Zaris-Angel Hator, 
Jared Harris, 
Marianne Jean-Baptiste","/name/nm0881631/,/name/nm9485683/,/name/nm0364813/,/name/nm0001399/",46294.0,,3
