imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt10640346,Babylon,2022,R,189 min,"Comedy, Drama, History",7.4,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood.",Damien Chazelle,/name/nm3227090/,"Brad Pitt, 
Margot Robbie, 
Jean Smart, 
Olivia Wilde","/name/nm0000093/,/name/nm3053338/,/name/nm0005443/,/name/nm1312575/",66051.0,,3
tt11138512,The Northman,2022,R,137 min,"Action, Adventure, Drama",7.1,A young Viking prince is on a quest to avenge his father's murder.,Robert Eggers,/name/nm3211470/,"Alexander Skarsgård, 
Nicole Kidman, 
Claes Bang, 
Ethan Hawke","/name/nm0002907/,/name/nm0000173/,/name/nm0051903/,/name/nm0000160/",217036.0,,1
tt8093700,The Woman King,2022,PG-13,135 min,"Action, Drama, History",6.7,"A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries.",Gina Prince-Bythewood,/name/nm0697656/,"Viola Davis, 
Thuso Mbedu, 
Lashana Lynch, 
Sheila Atim","/name/nm0205626/,/name/nm9096847/,/name/nm2736476/,/name/nm5956547/",48483.0,,3
tt15398776,Oppenheimer,2023,,,"Biography, Drama, History",,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,Christopher Nolan,/name/nm0634240/,"Cillian Murphy, 
Emily Blunt, 
Matt Damon, 
Robert Downey Jr.","/name/nm0614165/,/name/nm1289434/,/name/nm0000354/,/name/nm0000375/",,,2
tt14807308,She Said,2022,R,129 min,"Drama, History",7.2,New York Times reporters Megan Twohey and Jodi Kantor break one of the most important stories in a generation - a story that helped ignite a movement and shattered decades of silence around the subject of sexual assault in Hollywood.,Maria Schrader,/name/nm0775056/,"Lola Petticrew, 
Katherine Laheen, 
Zoe Kazan, 
Carey Mulligan","/name/nm9252018/,/name/nm11621216/,/name/nm1443740/,/name/nm1659547/",20809.0,,2
tt5013056,Dunkirk,2017,PG-13,106 min,"Action, Drama, History",7.8,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.",Christopher Nolan,/name/nm0634240/,"Fionn Whitehead, 
Barry Keoghan, 
Mark Rylance, 
Tom Hardy","/name/nm7887725/,/name/nm4422686/,/name/nm0753314/,/name/nm0362766/",669727.0,188373161.0,0
tt4846340,Hidden Figures,2016,PG,127 min,"Biography, Drama, History",7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Theodore Melfi,/name/nm0577647/,"Taraji P. Henson, 
Octavia Spencer, 
Janelle Monáe, 
Kevin Costner","/name/nm0378245/,/name/nm0818055/,/name/nm1847117/,/name/nm0000126/",235196.0,169607287.0,3
tt2119532,Hacksaw Ridge,2016,R,139 min,"Biography, Drama, History",8.1,"World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",Mel Gibson,/name/nm0000154/,"Andrew Garfield, 
Sam Worthington, 
Luke Bracey, 
Teresa Palmer","/name/nm1940449/,/name/nm0941777/,/name/nm3478396/,/name/nm1954240/",535776.0,67209615.0,1
tt1596363,The Big Short,2015,R,130 min,"Biography, Comedy, Drama",7.8,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.",Adam McKay,/name/nm0570912/,"Christian Bale, 
Steve Carell, 
Ryan Gosling, 
Brad Pitt","/name/nm0000288/,/name/nm0136797/,/name/nm0331516/,/name/nm0000093/",438736.0,70259870.0,1
tt4244994,The Last Duel,2021,R,152 min,"Action, Drama, History",7.4,King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,Ridley Scott,/name/nm0000631/,"Matt Damon, 
Adam Driver, 
Jodie Comer, 
Harriet Walter","/name/nm0000354/,/name/nm3485845/,/name/nm3069650/,/name/nm0910040/",160481.0,,3
