imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt3915174,Puss in Boots: The Last Wish,2022.0,PG,102 min,"Animation, Adventure, Comedy",7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford, 
Januel Mercado",/name/nm3150455/,"Antonio Banderas, 
Salma Hayek, 
Harvey Guillén, 
Florence Pugh","/name/nm2591093/,/name/nm0000104/,/name/nm0000161/,/name/nm2957490/,/name/nm6073955/",93203.0,168464485.0,3
tt5971474,The Little Mermaid,2023.0,PG,,"Adventure, Family, Fantasy",,"A young mermaid makes a deal with a sea witch, to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.",Rob Marshall,/name/nm0551128/,"Halle Bailey, 
Jonah Hauer-King, 
Melissa McCarthy, 
Javier Bardem","/name/nm1782991/,/name/nm5999355/,/name/nm0565250/,/name/nm0000849/",,,3
tt6718170,The Super Mario Bros. Movie,2023.0,PG,92 min,"Animation, Adventure, Comedy",,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom,"Aaron Horvath, 
Michael Jelenic",/name/nm1739338/,"Chris Pratt, 
Anya Taylor-Joy, 
Charlie Day, 
Jack Black","/name/nm2398585/,/name/nm0695435/,/name/nm5896355/,/name/nm0206359/,/name/nm0085312/",,,1
tt9411972,Where the Crawdads Sing,2022.0,PG-13,125 min,"Drama, Mystery, Romance",7.2,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.,Olivia Newman,/name/nm3229507/,"Daisy Edgar-Jones, 
Taylor John Smith, 
Harris Dickinson, 
David Strathairn","/name/nm8402992/,/name/nm4973896/,/name/nm6170168/,/name/nm0000657/",85330.0,90230760.0,3
tt13430858,What's Love Got to Do with It?,2022.0,,108 min,"Comedy, Romance",6.6,"In London, an award-winning film-maker documents her best friend's journey into an assisted marriage in line with his family's Pakistani heritage. In the process, she challenges her own attitude towards relationships.",Shekhar Kapur,/name/nm0001408/,"Lily James, 
Emma Thompson, 
Shazad Latif, 
Oliver Chris","/name/nm4141252/,/name/nm0000668/,/name/nm3691746/,/name/nm0159631/",1788.0,,1
tt10648342,Thor: Love and Thunder,2022.0,PG-13,118 min,"Action, Adventure, Comedy",6.3,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.",Taika Waititi,/name/nm0169806/,"Chris Hemsworth, 
Natalie Portman, 
Christian Bale, 
Tessa Thompson","/name/nm1165110/,/name/nm0000204/,/name/nm0000288/,/name/nm1935086/",349821.0,343256830.0,3
tt1655389,Blonde,2022.0,NC-17,167 min,"Biography, Drama, Romance",5.5,"The story of American actress Marilyn Monroe, covering her love and professional lives.",Andrew Dominik,/name/nm0231596/,"Ana de Armas, 
Lily Fisher, 
Julianne Nicholson, 
Tygh Runyan","/name/nm1869101/,/name/nm8720624/,/name/nm0629855/,/name/nm0750353/",62278.0,,2
tt1517268,Barbie,2023.0,,,"Adventure, Comedy, Fantasy",,To live in Barbie Land is to be a perfect being in a perfect place. Unless you have a full-on existential crisis. Or you're a Ken.,Greta Gerwig,/name/nm1950086/,"Margot Robbie, 
Helen Mirren, 
Ryan Gosling, 
Emma Mackey","/name/nm3053338/,/name/nm0000545/,/name/nm0331516/,/name/nm8076281/",,,3
tt2322441,Fifty Shades of Grey,2015.0,R,125 min,"Drama, Romance, Thriller",4.2,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",Sam Taylor-Johnson,/name/nm0853374/,"Dakota Johnson, 
Jamie Dornan, 
Jennifer Ehle, 
Eloise Mumford","/name/nm0424848/,/name/nm1946193/,/name/nm0000383/,/name/nm3037833/",323913.0,166167230.0,3
tt10168670,Bones and All,2022.0,R,131 min,"Drama, Horror, Romance",6.9,"Maren, a young woman, learns how to survive on the margins of society.",Luca Guadagnino,/name/nm0345174/,"Timothée Chalamet, 
Taylor Russell, 
Mark Rylance, 
Kendle Coffey","/name/nm3154303/,/name/nm5347988/,/name/nm0753314/,/name/nm12912851/",36132.0,,3
