imdbid,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $),bechdel
tt11145118,Creed III,2023,PG-13,116 min,"Drama, Sport",,"Adonis has been thriving in both his career and family life, but when a childhood friend and former boxing prodigy resurfaces, the face-off is more than just a fight.",Michael B. Jordan,/name/nm0430107/,"Jonathan Majors, 
Michael B. Jordan, 
Tessa Thompson, 
Wood Harris","/name/nm3718007/,/name/nm0430107/,/name/nm1935086/,/name/nm0365445/",,,3
tt1950186,Ford v Ferrari,2019,UA,152 min,"Action, Biography, Drama",8.1,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,James Mangold,/name/nm0003506/,"Matt Damon, 
Christian Bale, 
Jon Bernthal, 
Caitríona Balfe","/name/nm0000354/,/name/nm0000288/,/name/nm1256532/,/name/nm1495520/",403381.0,117624028.0,0
tt8745676,The Swimmers,2022,UA 16+,134 min,"Biography, Drama, Sport",7.4,"From war-torn Syria to the 2016 Rio Olympics, two young sisters embark on a harrowing journey as refugees, putting both their hearts and champion swimming skills to heroic use.",Sally El Hosaini,/name/nm2260751/,"Matthias Schweighöfer, 
Ali Suliman, 
Manal Issa, 
Nathalie Issa","/name/nm0777788/,/name/nm1846124/,/name/nm6997839/,/name/nm9060226/",25083.0,,3
tt3076658,Creed,2015,UA,133 min,"Action, Drama, Sport",7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",Ryan Coogler,/name/nm3363032/,"Michael B. Jordan, 
Sylvester Stallone, 
Tessa Thompson, 
Phylicia Rashad","/name/nm0430107/,/name/nm0000230/,/name/nm1935086/,/name/nm0711118/",279120.0,109767581.0,2
tt1210166,Moneyball,2011,13,133 min,"Biography, Drama, Sport",7.6,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Bennett Miller,/name/nm0587955/,"Brad Pitt, 
Robin Wright, 
Jonah Hill, 
Philip Seymour Hoffman","/name/nm0000093/,/name/nm0000705/,/name/nm1706767/,/name/nm0000450/",430536.0,75605492.0,1
tt1291584,Warrior,2011,UA,140 min,"Action, Drama, Sport",8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",Gavin O'Connor,/name/nm0640334/,"Tom Hardy, 
Nick Nolte, 
Joel Edgerton, 
Jennifer Morrison","/name/nm0362766/,/name/nm0000560/,/name/nm0249291/,/name/nm0607185/",476838.0,13657115.0,1
tt6343314,Creed II,2018,UA,130 min,"Action, Drama, Sport",7.1,"Under the tutelage of Rocky Balboa, newly crowned heavyweight champion Adonis Creed faces off against Viktor Drago, the son of Ivan Drago.",Steven Caple Jr.,/name/nm4023702/,"Michael B. Jordan, 
Sylvester Stallone, 
Tessa Thompson, 
Phylicia Rashad","/name/nm0430107/,/name/nm0000230/,/name/nm1935086/,/name/nm0711118/",129259.0,115715889.0,3
tt5580036,"I, Tonya",2017,R,119 min,"Biography, Comedy, Drama",7.5,"Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",Craig Gillespie,/name/nm0318916/,"Margot Robbie, 
Sebastian Stan, 
Allison Janney, 
Julianne Nicholson","/name/nm3053338/,/name/nm1659221/,/name/nm0005049/,/name/nm0629855/",222315.0,30014539.0,3
tt4209788,Molly's Game,2017,R,140 min,"Biography, Crime, Drama",7.4,"The true story of Molly Bloom, an Olympic-class skier who ran the world's most exclusive high-stakes poker game and became an FBI target.",Aaron Sorkin,/name/nm0815070/,"Jessica Chastain, 
Idris Elba, 
Kevin Costner, 
Michael Cera","/name/nm1567113/,/name/nm0252961/,/name/nm0000126/,/name/nm0148418/",176226.0,28780744.0,3
tt1809398,Unbroken,2014,18,137 min,"Action, Biography, Drama",7.2,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",Angelina Jolie,/name/nm0001401/,"Jack O'Connell, 
Miyavi, 
Domhnall Gleeson, 
Garrett Hedlund","/name/nm1925239/,/name/nm2032193/,/name/nm1727304/,/name/nm1330560/",171332.0,115637895.0,0
tt15339570,Champions,2023,PG-13,123 min,"Comedy, Drama, Sport",,"A former minor-league basketball coach is ordered by the court to manage a team of players with intellectual disabilities. He soon realizes that despite his doubts, together, this team can go further than they ever imagined.",Bobby Farrelly,/name/nm0125803/,"Woody Harrelson, 
Ernie Hudson, 
Cheech Marin, 
Matt Cook","/name/nm0000437/,/name/nm0001368/,/name/nm0001507/,/name/nm3129512/",,,0
tt1979320,Rush,2013,R,123 min,"Action, Biography, Drama",8.1,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,Ron Howard,/name/nm0000165/,"Daniel Brühl, 
Chris Hemsworth, 
Olivia Wilde, 
Alexandra Maria Lara","/name/nm0117709/,/name/nm1165110/,/name/nm1312575/,/name/nm0487884/",484813.0,26947624.0,1
tt1125849,The Wrestler,2008,UA,109 min,"Drama, Sport",7.9,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.",Darren Aronofsky,/name/nm0004716/,"Mickey Rourke, 
Marisa Tomei, 
Evan Rachel Wood, 
Mark Margolis","/name/nm0000620/,/name/nm0000673/,/name/nm0939697/,/name/nm0546797/",309583.0,26236603.0,1
