id,imdbid,title,year,rating
9602,3155794,Passage de Venus,1874,0
9804,14495706,La Rosace Magique,1877,0
9603,2221420,Sallie Gardner at a Gallop,1878,0
9806,12592084,Le singe musicien,1878,0
9816,7816420,Athlete Swinging a Pick,1881,0
9831,5459794,Buffalo Running,1883,0
9832,8588366,L&#39;homme machine,1885,0
9614,2075247,Man Walking Around the Corner,1887,0
9836,8133192,Cockatoo Flying,1887,0
9837,7411790,Child Carrying Flowers to Woman,1887,0
9838,7541160,Jumping Over a Man&#39;s Back-Leapfrog,1887,0
9841,7754902,Man Riding Jumping Horse,1887,0
9902,8361552,Baboon Climbing a Pole,1887,0
8040,0392728,Roundhay Garden Scene,1888,0
9615,1758563,Accordion Player,1888,0
9616,0343112,Traffic Crossing Leeds Bridge,1888,0
9675,3274100,Pferd und Reiter Springen uber ein Hindernis,1888,0
9947,2116853,Brighton Street Scene,1888,0
9619,0466876,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,0
9945,2116898,Hyde Park Corner,1889,0
9617,0361921,"Monkeyshines, No. 1",1890,0
9618,0416046,"Monkeyshines, No. 2",1890,0
9621,1202028,London&#39;s Trafalgar Square,1890,0
9678,0416047,"Monkeyshines, No. 3",1890,0
9946,5285442,Mosquinha,1890,0
9944,2116968,"Traffic in King&#39;s Road, Chelsea",1890,0
9626,0241373,Dickson Greeting,1891,0
9628,0241715,Men Boxing,1891,0
9629,0241763,Newark Athlete,1891,0
9792,0241393,"Duncan and Another, Blacksmith Shop",1891,0
9793,0241392,Duncan Smoking,1891,0
9794,0241394,Duncan or Devonald with Muslin Cloud,1891,0
9795,0241735,"Monkey and Another, Boxing",1891,0
9800,3201916,Je vous aime,1891,0
9802,3508566,La vague,1891,0
9943,5447082,Two Fencers,1891,0
5433,0000003,Pauvre Pierrot,1892,0
9631,0000004,Un bon bock,1892,0
9632,0000002,Le clown et ses chiens,1892,0
9951,0241446,Fencing,1892,0
9952,0234520,Le prince de Galles,1892,0
9948,0242148,Wrestling,1892,0
9986,0241266,Boxing,1892,0
9583,0000005,Blacksmith Scene,1893,0
9636,0229217,Annabelle Butterfly Dance,1894,0
9642,8419312,Edison Kinetoscope Records: Annie Oakley,1894,0
9646,0000015,Autour d&#39;une cabine,1894,0
9648,0229235,"Barbershop, The",1894,0
9649,0309396,Bucking Broncho,1894,0
9650,0309402,Buffalo Dance,1894,0
9651,0000001,Carmencita,1894,0
9652,0000008,Edison Kinetoscopic Record of a Sneeze,1894,0
9654,0177707,Dickson Experimental Sound Film,1894,0
9655,0000006,Chinese Opium Den,1894,0
9656,0000007,Corbett and Courtney Before the Kinetograph,1894,0
9662,2049440,Falling Cat,1894,0
9663,0312728,"Glenroy Bros., No. 2",1894,0
9664,0256782,Glenroy Brothers,1894,0
9668,0203646,Leonard-Cushing Fight,1894,0
9671,0277115,"Luis Martinetti, Contortionist",1894,0
9673,2161519,Sandow No. 2,1894,0
9674,2161521,Sandow No. 3,1894,0
9681,0413219,Reve au coin du feu,1894,0
9779,0000009,Miss Jerry,1894,0
5444,0000014,Tables Turned on the Gardener,1895,0
6200,0132134,"Execution of Mary, Queen of Scots, The",1895,0
9679,0000011,Akrobatisches Potpourri,1895,1
9683,0154152,Annabelle Serpentine Dance,1895,0
9714,0000017,Italienischer Bauerntanz,1895,0
9715,0000029,Baby&#39;s Dinner,1895,1
9766,0477266,Billy Edwards and the Unknown,1895,0
9767,0000022,Blacksmith Scene,1895,0
9787,0000016,Barque sortant du port,1895,0
4982,0000091,"House of the Devil, The",1896,0
5406,0000131,Une nuit terrible,1896,0
5445,0223341,La fee aux choux,1896,0
6199,0000012,"Arrival of a Train, The",1896,0
9672,1428455,Sandow,1896,0
9949,1672718,Alger: rue Bab-Azoun,1896,0
9950,1736599,Lassage des boeufs pour le labour,1896,0
9901,0222137,Lancement d&#39;un navire,1896,0
9328,0000041,Bataille de neige,1897,0
4978,0135696,Four Heads Are Better Than One,1898,0
5410,0000211,"Astronomer&#39;s Dream; or, The Man in the Moon, The",1898,0
5411,0224240,"Temptation of St. Anthony, The",1898,0
4994,0000246,A Turn of the Century Illusionist,1899,0
5914,0000230,Cinderella,1899,3
1594,0291476,Sherlock Holmes Baffled,1900,0
4271,0000300,"Enchanted Drawing, The",1900,0
4343,0000304,Grandma&#39;s Reading Glass,1900,0
4344,0000272,As Seen Through A Telescope (a.k.a The Professor and His Field Glass),1900,0
4345,0257654,Explosion of a Motor Car (a.k.a The Dlights of Automobiling),1900,0
4346,0000306,Hamlet ( Le Duel d&#39;Hamlet),1900,0
4993,0135453,"One-Man Band, The",1900,0
5069,0377995,Grandma Threading Her Needle,1900,0
5072,0230746,"Searching Ruins on Broadway, Galveston, for Dead Bodies",1900,0
5438,0000313,Let Me Dream Again,1900,0
5446,0227438,"Doctor and the Monkey, The",1900,0
4995,0000359,L&#39;homme a la tete en caoutchouc,1901,0
5437,0258104,Reve et realite,1901,0
5500,0131934,Bluebeard,1901,0
1252,0000417,Le voyage dans la lune,1902,0
5431,0229024,Gulliver&#39;s Travels,1902,0
5432,0367177,"Twentieth Century Tramp; or, Happy Hooligan and His Airship, The",1902,0
5443,0000413,Mephistopheles&#39; School of Magic,1902,0
1319,0000439,"Great Train Robbery, The",1903,0
5002,0135180,"Infernal Boiling Pot, The",1903,0
5063,0000455,"Music Lover, The",1903,0
5064,0223755,"Monster, The",1903,0
5683,0189498,"Enchanted Well, The",1903,0
5224,0215664,"Cook in Trouble, The",1904,0
5404,0135179,"Living Playing Cards, The",1904,0
5601,0135631,"Untamable Whiskers, The",1904,0
6135,0000499,Le voyage a travers l&#39;impossible,1904,0
5003,0135690,"Scheming Gambler&#39;s Paradise, The",1905,0
5602,0215575,"Black Imp, The",1905,0
1349,0000574,"Story of the Kelly Gang, The",1906,1
5024,0216016,"Mysterious Retort, The",1906,0
5435,0000554,Humorous Phases of Funny Faces,1906,0
5603,0135122,"Hilarious Posters, The",1906,0
5684,0000567,"400 Tricks of the Devil, The",1906,0
6206,0449172,A Funny Shave,1906,0
7215,1260944,"Consequence of Feminism, The",1906,0
5223,0215737,"Eclipse: Courtship of the Sun and Moon, The",1907,0
5615,0215817,Good Glue Sticks,1907,0
6231,1802750,Unusual Cooking,1908,0
4409,0001009,"Princess Nicotine; or, The Smoke Fairy",1909,2
5635,0127948,"Devilish Tenant, The",1909,0
6211,0277596,Le barometre de la fidelite,1909,1
1464,0232821,Tilly the Tomboy Visits the Poor,1910,3
4983,0486978,Mobilier fidele,1910,0
5685,1515725,A Trip to Mars,1910,0
2003,0002101,Cleopatra,1912,2
2005,0002281,"Invaders, The",1912,0
5357,0277865,Max and the Donkey,1912,0
5364,0003512,"Voyage of the Bourrichon Family, The",1913,0
5915,0003424,Suspense,1913,0
4457,0003973,A Florida Enchantment,1914,2
1258,0004972,"Birth of a Nation, The",1915,2
2008,0006745,Gretchen the Greenhorn,1916,3
2014,0279914,Lady Windermere&#39;s Fan,1916,3
5368,0007507,"Vagabond, The",1916,0
5944,0006864,Intolerance: Love&#39;s Struggle Throughout the Ages,1916,0
7004,0007361,Snow White,1916,3
1981,0008652,A Tale of Two Cities,1917,3
1993,0008499,Rebecca of Sunnybrook Farm,1917,3
1994,0008443,"Poor Little Rich Girl, The",1917,3
2015,0008519,A Romance of the Redwoods,1917,0
2019,0008489,"Raffles, the Amateur Cracksman",1917,2
1996,0009682,Tarzan of the Apes,1918,3
2007,0009652,Stella Maris,1918,3
5441,0008844,Are Crooks Dishonest?,1918,0
7108,0010281,Ich mochte kein Mann sein,1918,3
2018,0010879,When the Clouds Roll by,1919,3
2588,0009968,Broken Blossoms or The Yellow Man and the Girl,1919,0
1306,0010323,"Cabinet of Dr. Caligari, The",1920,0
1991,0011588,Pollyanna,1920,3
5948,0011870,Within Our Gates,1920,3
1263,0012532,Orphans of the Storm,1921,3
3945,0012349,"Kid, The",1921,0
4204,0011979,"Blot, The",1921,3
5898,0012364,K&ouml;rkarlen (The Phantom Carriage),1921,2
1307,0013442,"Nosferatu, eine Symphonie des Grauens",1922,2
1631,0013496,"Phantom, The",1922,2
1778,0013428,Nathan der Weise,1922,2
2001,0013367,"Man from Beyond, The",1922,1
3800,0013257,H&auml;xan: Witchcraft Through the Ages,1922,3
5361,0012543,"Paleface, The",1922,0
5901,0013427,Nanook of the North,1922,1
5958,0013140,Foolish Wives,1922,3
5967,0013086,"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,3
1961,0014429,Safety Last!,1923,0
1967,0014611,Why Worry?,1923,0
1998,0014469,"Silent Command, The",1923,2
5888,0013626,La souriante Madame Beudet,1923,3
5949,0014341,Our Hospitality,1923,0
8947,0014624,A Woman of Paris,1923,2
1337,0015175,Die Nibelungen,1924,2
1338,0015174,Kriemhild&#39;s Revenge,1924,2
1264,0015400,"Thief of Bagdad, The",1924,0
1960,0015498,Wild Oranges,1924,0
2009,0015163,"Navigator, The",1924,0
2011,0015324,Sherlock Jr.,1924,0
2016,0014945,Girl Shy,1924,0
2020,0015116,Manhandled,1924,3
2413,1764657,"Great White Silence, The",1924,0
6209,0013845,Help!,1924,0
8458,0015881,Greed,1924,3
1305,0016220,"Phantom of the Opera, The",1925,2
1308,0015648,Battleship Potemkin,1925,0
1309,0015864,"Gold Rush, The",1925,0
1978,0015863,Go West,1925,0
2012,0015841,"Freshman, The",1925,0
3077,0016332,Seven Chances,1925,0
5514,0016039,"Lost World, The",1925,2
5962,0015624,"Big Parade, The",1925,2
5991,0015361,Stachka,1925,0
1334,0017449,"Temptress, The",1926,1
1260,0016884,Flesh and the Devil,1926,1
1310,0017925,"General, The",1926,0
1966,0016895,For Heaven&#39;s Sake,1926,0
3217,0017410,So&#39;s Your Old Man,1926,3
5974,0015532,Die Abenteuer des Prinzen Achmed,1926,1
1227,0018033,It,1927,3
1267,0017136,Metropolis,1927,1
1312,0018192,Abel Gance&#39;s Napoleon,1927,2
1311,0018528,"Unknown, The",1927,0
1632,0018455,Sunrise: A Song of Two Humans,1927,2
1964,0018051,"Kid Brother, The",1927,0
1982,0018199,Nevada,1927,0
2010,0018183,My Best Girl,1927,3
3118,0018578,Wings,1927,1
5975,0018037,"Jazz Singer, The",1927,1
7324,0017825,Downhill [When Boys Leave Home],1927,1
1314,0019254,"Passion of Joan of Arc, The",1928,0
1963,0019412,Speedy,1928,0
1968,0018773,"Circus, The",1928,0
1970,0018742,"Cameraman, The",1928,0
1971,0019421,"Steamboat Bill, Jr.",1928,0
1972,0019304,"Racket, The",1928,0
1977,0018684,Beggars of Life,1928,0
1979,0019290,"Power of the Press, The",1928,1
1980,0018937,A Girl in Every Port,1928,0
2013,0019258,"Patsy, The",1928,3
2017,0019571,While the City Sleeps,1928,2
2021,0019130,"Man Who Laughs, The",1928,2
5912,0018806,"Crowd, The",1928,1
5984,0018839,"Docks of New York, The",1928,2
9314,0019237,Our Dancing Daughters,1928,2
