id,imdbid,title,year,bechdel
9602,tt3155794,Passage de Venus,1874,0
9804,tt14495706,La Rosace Magique,1877,0
9603,tt2221420,Sallie Gardner at a Gallop,1878,0
9806,tt12592084,Le singe musicien,1878,0
9816,tt7816420,Athlete Swinging a Pick,1881,0
9831,tt5459794,Buffalo Running,1883,0
9832,tt8588366,L&#39;homme machine,1885,0
9614,tt2075247,Man Walking Around the Corner,1887,0
9836,tt8133192,Cockatoo Flying,1887,0
9837,tt7411790,Child Carrying Flowers to Woman,1887,0
9838,tt7541160,Jumping Over a Man&#39;s Back-Leapfrog,1887,0
9841,tt7754902,Man Riding Jumping Horse,1887,0
9902,tt8361552,Baboon Climbing a Pole,1887,0
8040,tt392728,Roundhay Garden Scene,1888,0
9615,tt1758563,Accordion Player,1888,0
9616,tt343112,Traffic Crossing Leeds Bridge,1888,0
9675,tt3274100,Pferd und Reiter Springen uber ein Hindernis,1888,0
9947,tt2116853,Brighton Street Scene,1888,0
9619,tt466876,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",1889,0
9945,tt2116898,Hyde Park Corner,1889,0
9617,tt361921,"Monkeyshines, No. 1",1890,0
9618,tt416046,"Monkeyshines, No. 2",1890,0
9621,tt1202028,London&#39;s Trafalgar Square,1890,0
9678,tt416047,"Monkeyshines, No. 3",1890,0
9946,tt5285442,Mosquinha,1890,0
9944,tt2116968,"Traffic in King&#39;s Road, Chelsea",1890,0
9626,tt241373,Dickson Greeting,1891,0
9628,tt241715,Men Boxing,1891,0
9629,tt241763,Newark Athlete,1891,0
9792,tt241393,"Duncan and Another, Blacksmith Shop",1891,0
9793,tt241392,Duncan Smoking,1891,0
9794,tt241394,Duncan or Devonald with Muslin Cloud,1891,0
9795,tt241735,"Monkey and Another, Boxing",1891,0
9800,tt3201916,Je vous aime,1891,0
9802,tt3508566,La vague,1891,0
9943,tt5447082,Two Fencers,1891,0
5433,tt3,Pauvre Pierrot,1892,0
9631,tt4,Un bon bock,1892,0
9632,tt2,Le clown et ses chiens,1892,0
